2025-04-15 01:08:29 | INFO | modules.bot | Обработчик modules.bot.handlers.activity зарегистрирован.
2025-04-15 01:08:29 | DEBUG | modules.bot.handlers.channel_buttons | Logger 'modules.bot.handlers.channel_buttons' инициализирован с уровнем DEBUG.
2025-04-15 01:08:29 | DEBUG | modules.bot.handlers.channel_buttons | Logger 'modules.bot.handlers.channel_buttons' инициализирован с уровнем DEBUG.
2025-04-15 01:08:29 | INFO | modules.bot | Импортирован обработчик: modules.bot.handlers.channel_buttons
2025-04-15 01:08:29 | DEBUG | modules.bot | Подключение register_handler из modules.bot.handlers.channel_buttons
2025-04-15 01:08:29 | INFO | modules.bot | Обработчик modules.bot.handlers.channel_buttons зарегистрирован.
2025-04-15 01:08:29 | DEBUG | modules.bot.services.channel_service | Logger 'modules.bot.services.channel_service' инициализирован с уровнем DEBUG.
2025-04-15 01:08:29 | DEBUG | modules.bot.services.channel_service | Logger 'modules.bot.services.channel_service' инициализирован с уровнем DEBUG.
2025-04-15 01:08:29 | DEBUG | modules.bot.handlers.channel_monitoring | Logger 'modules.bot.handlers.channel_monitoring' инициализирован с уровнем DEBUG.
2025-04-15 01:08:29 | DEBUG | modules.bot.handlers.channel_monitoring | Logger 'modules.bot.handlers.channel_monitoring' инициализирован с уровнем DEBUG.
2025-04-15 01:08:29 | INFO | modules.bot | Импортирован обработчик: modules.bot.handlers.channel_monitoring
2025-04-15 01:08:29 | DEBUG | modules.bot | Подключение register_handler из modules.bot.handlers.channel_monitoring
2025-04-15 01:08:29 | INFO | modules.bot | Обработчик modules.bot.handlers.channel_monitoring зарегистрирован.
2025-04-15 01:08:29 | DEBUG | modules.bot.handlers.feed | Logger 'modules.bot.handlers.feed' инициализирован с уровнем DEBUG.
2025-04-15 01:08:29 | DEBUG | modules.bot.handlers.feed | Logger 'modules.bot.handlers.feed' инициализирован с уровнем DEBUG.
2025-04-15 01:08:29 | DEBUG | modules.bot.handlers.fallback | Logger 'modules.bot.handlers.fallback' инициализирован с уровнем DEBUG.
2025-04-15 01:08:29 | DEBUG | modules.bot.handlers.fallback | Logger 'modules.bot.handlers.fallback' инициализирован с уровнем DEBUG.
2025-04-15 01:08:29 | INFO | modules.bot | Импортирован обработчик: modules.bot.handlers.fallback
2025-04-15 01:08:29 | DEBUG | modules.bot | Подключение register_handler из modules.bot.handlers.fallback
2025-04-15 01:08:29 | INFO | modules.bot | Обработчик modules.bot.handlers.fallback зарегистрирован.
2025-04-15 01:08:29 | INFO | modules.bot | Импортирован обработчик: modules.bot.handlers.feed
2025-04-15 01:08:29 | DEBUG | modules.bot | Подключение register_handler из modules.bot.handlers.feed
2025-04-15 01:08:29 | INFO | modules.bot | Обработчик modules.bot.handlers.feed зарегистрирован.
2025-04-15 01:08:29 | DEBUG | modules.bot.handlers.id_user | Logger 'modules.bot.handlers.id_user' инициализирован с уровнем DEBUG.
2025-04-15 01:08:29 | DEBUG | modules.bot.handlers.id_user | Logger 'modules.bot.handlers.id_user' инициализирован с уровнем DEBUG.
2025-04-15 01:08:29 | INFO | modules.bot | Импортирован обработчик: modules.bot.handlers.id_user
2025-04-15 01:08:29 | DEBUG | modules.bot | Подключение register_handler из modules.bot.handlers.id_user
2025-04-15 01:08:29 | INFO | modules.bot | Обработчик modules.bot.handlers.id_user зарегистрирован.
2025-04-15 01:08:29 | DEBUG | modules.bot.handlers.menu | Logger 'modules.bot.handlers.menu' инициализирован с уровнем DEBUG.
2025-04-15 01:08:29 | DEBUG | modules.bot.handlers.menu | Logger 'modules.bot.handlers.menu' инициализирован с уровнем DEBUG.
2025-04-15 01:08:29 | INFO | modules.bot | Импортирован обработчик: modules.bot.handlers.menu
2025-04-15 01:08:29 | DEBUG | modules.bot | Подключение register_handler из modules.bot.handlers.menu
2025-04-15 01:08:29 | INFO | modules.bot | Обработчик modules.bot.handlers.menu зарегистрирован.
2025-04-15 01:08:29 | DEBUG | modules.bot.handlers.more | Logger 'modules.bot.handlers.more' инициализирован с уровнем DEBUG.
2025-04-15 01:08:29 | DEBUG | modules.bot.handlers.more | Logger 'modules.bot.handlers.more' инициализирован с уровнем DEBUG.
2025-04-15 01:08:29 | INFO | modules.bot | Импортирован обработчик: modules.bot.handlers.more
2025-04-15 01:08:29 | DEBUG | modules.bot | Подключение register_handler из modules.bot.handlers.more
2025-04-15 01:08:29 | INFO | modules.bot | Обработчик modules.bot.handlers.more зарегистрирован.
2025-04-15 01:08:29 | DEBUG | modules.bot.services.subscription_service | Logger 'modules.bot.services.subscription_service' инициализирован с уровнем DEBUG.
2025-04-15 01:08:29 | DEBUG | modules.bot.services.subscription_service | Logger 'modules.bot.services.subscription_service' инициализирован с уровнем DEBUG.
2025-04-15 01:08:29 | DEBUG | modules.bot.handlers.premium | Logger 'modules.bot.handlers.premium' инициализирован с уровнем DEBUG.
2025-04-15 01:08:29 | DEBUG | modules.bot.handlers.premium | Logger 'modules.bot.handlers.premium' инициализирован с уровнем DEBUG.
2025-04-15 01:08:29 | INFO | modules.bot | Импортирован обработчик: modules.bot.handlers.premium
2025-04-15 01:08:29 | DEBUG | modules.bot | Подключение register_handler из modules.bot.handlers.premium
2025-04-15 01:08:29 | INFO | modules.bot | Обработчик modules.bot.handlers.premium зарегистрирован.
2025-04-15 01:08:29 | DEBUG | modules.bot.handlers.reactions | Logger 'modules.bot.handlers.reactions' инициализирован с уровнем DEBUG.
2025-04-15 01:08:29 | DEBUG | modules.bot.handlers.reactions | Logger 'modules.bot.handlers.reactions' инициализирован с уровнем DEBUG.
2025-04-15 01:08:29 | INFO | modules.bot | Импортирован обработчик: modules.bot.handlers.reactions
2025-04-15 01:08:29 | DEBUG | modules.bot | Подключение register_handler из modules.bot.handlers.reactions
2025-04-15 01:08:29 | INFO | modules.bot | Обработчик modules.bot.handlers.reactions зарегистрирован.
2025-04-15 01:08:29 | DEBUG | modules.bot.handlers.subscription | Logger 'modules.bot.handlers.subscription' инициализирован с уровнем DEBUG.
2025-04-15 01:08:29 | DEBUG | modules.bot.handlers.subscription | Logger 'modules.bot.handlers.subscription' инициализирован с уровнем DEBUG.
2025-04-15 01:08:29 | INFO | modules.bot | Импортирован обработчик: modules.bot.handlers.subscription
2025-04-15 01:08:29 | DEBUG | modules.bot | Подключение register_handler из modules.bot.handlers.subscription
2025-04-15 01:08:29 | INFO | modules.bot | Обработчик modules.bot.handlers.subscription зарегистрирован.
2025-04-15 01:08:29 | INFO | bot | Начало регистрации модуля: bot
2025-04-15 01:08:29 | INFO | bot | Модуль успешно зарегистрирован: bot
2025-04-15 01:08:29 | INFO | modules.bot | Модуль bot успешно зарегистрирован.
2025-04-15 01:08:29 | INFO | bot | Модуль bot успешно зарегистрирован.
2025-04-15 01:08:29 | INFO | bot | Модуль common успешно загружен.
2025-04-15 01:08:29 | INFO | bot | Модуль monitoring успешно загружен.
2025-04-15 01:08:29 | DEBUG | modules.profile.handlers.profile | Logger 'modules.profile.handlers.profile' инициализирован с уровнем DEBUG.
2025-04-15 01:08:29 | DEBUG | modules.profile.handlers.start | Logger 'modules.profile.handlers.start' инициализирован с уровнем DEBUG.
2025-04-15 01:08:29 | DEBUG | modules.profile.handlers.redirect_lenta | Logger 'modules.profile.handlers.redirect_lenta' инициализирован с уровнем DEBUG.
2025-04-15 01:08:29 | DEBUG | modules.profile | Logger 'modules.profile' инициализирован с уровнем DEBUG.
2025-04-15 01:08:29 | INFO | bot | Модуль profile успешно загружен.
2025-04-15 01:08:29 | INFO | modules.profile | ✅ Бот 'Профиль' запущен в отдельном потоке.
2025-04-15 01:08:29 | INFO | bot | Модуль profile успешно зарегистрирован.
2025-04-15 01:08:29 | INFO | bot | Модуль reposts успешно загружен.
2025-04-15 01:08:29 | DEBUG | modules.subscriptions.manager | Logger 'modules.subscriptions.manager' инициализирован с уровнем DEBUG.
2025-04-15 01:08:29 | INFO | bot | handle_subscription_callback успешно импортирован.
2025-04-15 01:08:29 | INFO | bot | Функции is_user_subscribed и get_user_subscriptions успешно импортированы.
2025-04-15 01:08:29 | INFO | bot | Модуль subscriptions успешно загружен.
2025-04-15 01:08:29 | INFO | bot | Поллинг Telegram‑бота запущен в отдельном потоке.
2025-04-15 01:08:29 | INFO | modules.bot | Запуск поллинга Telegram‑бота.
2025-04-15 01:08:29 | INFO | bot | Обновление UI начато.
2025-04-15 01:08:29 | INFO | bot | StatusBar обновлён
2025-04-15 01:08:29 | INFO | bot | ModuleListWidget обновлён
2025-04-15 01:08:29 | INFO | bot | Обновление UI завершено.
2025-04-15 01:08:30 | INFO | modules.profile | 🚀 Профиль-бот: запуск поллинга
2025-04-15 01:08:39 | INFO | bot | Обновление UI начато.
2025-04-15 01:08:39 | INFO | bot | StatusBar обновлён
2025-04-15 01:08:39 | INFO | bot | ModuleListWidget обновлён
2025-04-15 01:08:39 | INFO | bot | Обновление UI завершено.
2025-04-15 01:08:42 | INFO | bot | Создаётся новый движок БД в loop id: 2530194032640
2025-04-15 01:08:42 | INFO | bot | Движок базы данных успешно инициализирован.
2025-04-15 01:08:42 | INFO | modules.profile.handlers.start | ↪️ Повторный вход пользователя: 5580462911
2025-04-15 01:08:42 | INFO | modules.profile.handlers.start | ↪️ Повторный вход пользователя: 5580462911
2025-04-15 01:08:42 | DEBUG | bot | Используется существующий движок БД, созданный в loop id: 2530194032640
2025-04-15 01:08:49 | INFO | bot | Обновление UI начато.
2025-04-15 01:08:49 | INFO | bot | StatusBar обновлён
